1484111214.0,1106,[4,7],4
1484115707.0,1107,[9,5],1
1484116343.0,1108,[6,9],2
1484116652.0,1109,[7,7],3
1484117294.0,1110,[1,3],4
1484121743.0,1111,[1,3],3
1484126131.0,1112,[4,7],3
1484127987.0,1113,[1,4],1
1484128622.0,1114,[3,1],4
1484132049.0,1115,[5,7],2
1484134424.0,1116,[5,5],2
1484136496.0,1117,[5,1],1
1484140206.0,1118,[5,8],2
1484143839.0,1119,[4,1],4
1484145169.0,1120,[3,8],4
1484147774.0,1121,[2,4],3
1484151047.0,1122,[5,8],1
1484152420.0,1123,[8,1],3
1484154620.0,1124,[4,9],3
1484156772.0,1125,[8,2],3
1484158919.0,1126,[3,7],3
1484159914.0,1127,[5,2],1
1484163235.0,1128,[5,7],4
1484165807.0,1129,[2,9],2
1484170280.0,1130,[7,6],3
1484171455.0,1131,[9,6],3
1484174639.0,1132,[7,8],4
1484176057.0,1133,[8,1],1
1484176965.0,1134,[6,8],3
1484181119.0,1135,[8,4],4
1484183193.0,1136,[4,4],4
1484184568.0,1137,[1,3],1
1484188912.0,1138,[3,3],4
1484193010.0,1139,[2,2],1
1484193622.0,1140,[1,7],4
1484194613.0,1141,[2,9],2
1484195970.0,1142,[3,2],1
1484199907.0,1143,[8,9],2
1484204234.0,1144,[3,4],3
1484207906.0,1145,[8,4],1
1484209116.0,1146,[2,3],3
1484211018.0,1147,[9,6],1
1484212271.0,1148,[8,3],3
1484215530.0,1149,[6,6],1
1484218457.0,1150,[2,1],4
1484220022.0,1151,[6,6],2
1484221846.0,1152,[9,1],1
1484223487.0,1153,[2,8],2
1484227769.0,1154,[1,7],2
1484228419.0,1155,[9,9],2
1484230062.0,1156,[8,3],3
1484233051.0,1157,[7,5],4
1484236424.0,1158,[3,6],4
1484238015.0,1159,[1,6],3
1484241651.0,1160,[6,4],2
1484242800.0,1161,[4,8],4
1484244563.0,1162,[4,8],2
1484246425.0,1163,[1,1],1
1484250164.0,1164,[6,2],1
1484252542.0,1165,[3,3],2
1484254484.0,1166,[4,9],1
1484254642.0,1167,[2,4],1
1484255567.0,1168,[2,1],1
1484257628.0,1169,[6,1],1
1484257718.0,1170,[7,7],4
1484262014.0,1171,[2,8],4
1484266279.0,1172,[8,7],3
1484266891.0,1173,[9,4],4
1484267763.0,1174,[7,3],4
1484268728.0,1175,[1,6],1
1484270013.0,1176,[9,6],3
1484270653.0,1177,[7,6],3
1484272843.0,1178,[6,5],2
1484274706.0,1179,[4,1],3
1484277681.0,1180,[5,7],2
1484279579.0,1181,[9,5],3
1484279721.0,1182,[8,8],2
1484282266.0,1183,[2,2],3
1484282450.0,1184,[6,4],3
1484285203.0,1185,[5,4],1
1484287798.0,1186,[3,4],3
1484290349.0,1187,[2,9],3
1484291334.0,1188,[4,9],4
1484294933.0,1189,[8,3],2
1484298524.0,1190,[5,4],2
1484301679.0,1191,[5,7],1
1484301775.0,1192,[6,1],1
1484302817.0,1193,[5,1],4
1484304058.0,1194,[9,7],4
1484305918.0,1195,[8,4],2
1484309974.0,1196,[5,7],2
1484314180.0,1197,[7,5],2
1484316358.0,1198,[3,1],2
1484319472.0,1199,[5,2],1
1484320860.0,1200,[3,2],1
1484324573.0,1201,[9,9],3
1484325410.0,1202,[9,3],2
1484327574.0,1203,[9,2],2
1484327631.0,1204,[6,2],1
1484330822.0,1205,[7,7],3
1484333604.0,1206,[9,2],1
1484337622.0,1207,[6,4],1
1484338082.0,1208,[9,1],1
1484341243.0,1209,[3,7],4
1484341884.0,1210,[6,1],1
1484343403.0,1211,[3,6],1
1484345812.0,1212,[2,7],4
1484350248.0,1213,[7,3],2
1484350325.0,1214,[6,4],4
1484351825.0,1215,[4,1],3
1484356209.0,1216,[9,5],4
1484357186.0,1217,[7,7],3
